"data","JSON_parentId"
"14.39433","stops.geometry_60fd221da318fa72e45f205e68668563"
"50.01295","stops.geometry_60fd221da318fa72e45f205e68668563"
"14.37455","stops.geometry_16b89468e4802475a713d05ba41026e5"
"50.03405","stops.geometry_16b89468e4802475a713d05ba41026e5"
"14.37379","stops.geometry_1956ff3c0cd0c25c97945cfe40dfe2bc"
"50.03368","stops.geometry_1956ff3c0cd0c25c97945cfe40dfe2bc"
"14.37336","stops.geometry_3b76094d207ad20f5ebfefff13ce34d9"
"50.03321","stops.geometry_3b76094d207ad20f5ebfefff13ce34d9"
"14.37336","stops.geometry_0ada9d425392cc0d627b8d3649050d3d"
"50.03321","stops.geometry_0ada9d425392cc0d627b8d3649050d3d"
"14.37455","stops.geometry_6acdde4b74f47280ebe367ed9732a27e"
"50.03373","stops.geometry_6acdde4b74f47280ebe367ed9732a27e"
"14.37455","stops.geometry_2963c8c25ce85be108609f8168dba73e"
"50.03373","stops.geometry_2963c8c25ce85be108609f8168dba73e"
"14.61732","stops.geometry_f3f02a3ac8d435ddf4ab9e3c592b91a1"
"50.11603","stops.geometry_f3f02a3ac8d435ddf4ab9e3c592b91a1"
"14.61732","stops.geometry_ae76045be6360730aaad658bea91e07d"
"50.11603","stops.geometry_ae76045be6360730aaad658bea91e07d"
"14.6178","stops.geometry_b44ebdab4b31924f97f944dc8b2389ea"
"50.1163","stops.geometry_b44ebdab4b31924f97f944dc8b2389ea"
"14.6178","stops.geometry_291ac5ad37a89308e25b12f4b8a3ef41"
"50.1163","stops.geometry_291ac5ad37a89308e25b12f4b8a3ef41"
"14.48368","stops.geometry_bbe8da9df94c78e2ea6632e924339281"
"50.03375","stops.geometry_bbe8da9df94c78e2ea6632e924339281"
"14.48337","stops.geometry_29b6252c0766b6f3f700cc954c7ac119"
"50.03407","stops.geometry_29b6252c0766b6f3f700cc954c7ac119"
"14.53413","stops.geometry_e0dda4adff4a1ff631c501a87e044a00"
"50.05643","stops.geometry_e0dda4adff4a1ff631c501a87e044a00"
"14.53413","stops.geometry_4acb97e4abcf8b15f3943e4cf8fbd641"
"50.05643","stops.geometry_4acb97e4abcf8b15f3943e4cf8fbd641"
"14.5337","stops.geometry_5ac23c3e33cc97b547c9888554bc806c"
"50.05658","stops.geometry_5ac23c3e33cc97b547c9888554bc806c"
"14.5337","stops.geometry_42beaea2f8df25b7254bb5949cb54b4e"
"50.05658","stops.geometry_42beaea2f8df25b7254bb5949cb54b4e"
"14.51901","stops.geometry_84ff76147943868ffc5ec23bf6b09c97"
"50.16716","stops.geometry_84ff76147943868ffc5ec23bf6b09c97"
"14.5192","stops.geometry_71e044c558c12e0340d40cbed230a57d"
"50.16705","stops.geometry_71e044c558c12e0340d40cbed230a57d"
"14.41663","stops.geometry_6d57c174a3e5a93685771816629405e9"
"49.99863","stops.geometry_6d57c174a3e5a93685771816629405e9"
"14.41688","stops.geometry_fdee7e8d6ad3f8929621b7d9bcb8f7cb"
"49.99895","stops.geometry_fdee7e8d6ad3f8929621b7d9bcb8f7cb"
"14.42373","stops.geometry_83699b9be1f4a31545dff3bc1827d672"
"49.99912","stops.geometry_83699b9be1f4a31545dff3bc1827d672"
"14.4227","stops.geometry_a7e7c616ff38f93d80942e204ed5c960"
"49.99897","stops.geometry_a7e7c616ff38f93d80942e204ed5c960"
"14.42793","stops.geometry_5ebabc3b6fc6aa2180b919b01e817241"
"50","stops.geometry_5ebabc3b6fc6aa2180b919b01e817241"
"14.42677","stops.geometry_d71321e282ae1498a570a28e3021de1f"
"50","stops.geometry_d71321e282ae1498a570a28e3021de1f"
"14.51432","stops.geometry_e154ac20f63857574e0b2e12e7acf419"
"50.01127","stops.geometry_e154ac20f63857574e0b2e12e7acf419"
"14.51432","stops.geometry_7b88c59a7a959a5de9488dfdf2d16fe9"
"50.01127","stops.geometry_7b88c59a7a959a5de9488dfdf2d16fe9"
"14.5144","stops.geometry_d05a24cf51db77512ccbcf6ab52678fd"
"50.01133","stops.geometry_d05a24cf51db77512ccbcf6ab52678fd"
"14.5144","stops.geometry_30f8ae6c5aa4099ca3434ae7b38aaa7c"
"50.01133","stops.geometry_30f8ae6c5aa4099ca3434ae7b38aaa7c"
"14.38269","stops.geometry_ba604aa48e35d22417321f9bfb01fb8c"
"49.95915","stops.geometry_ba604aa48e35d22417321f9bfb01fb8c"
"14.38269","stops.geometry_35b4318a167d9671debd0c8c3dac27d3"
"49.95915","stops.geometry_35b4318a167d9671debd0c8c3dac27d3"
"14.3829","stops.geometry_c4a642195b4d07f2585b5b182f416da5"
"49.95894","stops.geometry_c4a642195b4d07f2585b5b182f416da5"
"14.3829","stops.geometry_dd1cc5b85a4a3695be8a30542912481d"
"49.95894","stops.geometry_dd1cc5b85a4a3695be8a30542912481d"
"14.37067","stops.geometry_114d4452927c0f3e79f5732942abda31"
"50.08391","stops.geometry_114d4452927c0f3e79f5732942abda31"
"14.3716","stops.geometry_739f9b163edb1d4e76b8a1a3590e249d"
"50.08397","stops.geometry_739f9b163edb1d4e76b8a1a3590e249d"
"14.40462","stops.geometry_5e04c577973ab29d990ab5785f70ab77"
"50.07035","stops.geometry_5e04c577973ab29d990ab5785f70ab77"
"14.40361","stops.geometry_c900d8e6893f1b0c1f2713678f716bc6"
"50.06952","stops.geometry_c900d8e6893f1b0c1f2713678f716bc6"
"14.40483","stops.geometry_5298881660668d28f4eb4b252ca0b5c3"
"50.07051","stops.geometry_5298881660668d28f4eb4b252ca0b5c3"
"14.40465","stops.geometry_8a7415ee437a25943372ea926305a7da"
"50.07035","stops.geometry_8a7415ee437a25943372ea926305a7da"
"14.40468","stops.geometry_6d3a70e90f77183e33b04970f8b2d377"
"50.07048","stops.geometry_6d3a70e90f77183e33b04970f8b2d377"
"14.40361","stops.geometry_8f56a479c83f8de0faf0269903912d96"
"50.06883","stops.geometry_8f56a479c83f8de0faf0269903912d96"
