"JSON_parentId","geometry_type","properties_level_id","properties_location_type","properties_parent_station","properties_platform_code","properties_stop_code","properties_stop_desc","properties_stop_id","properties_stop_name","properties_stop_timezone","properties_stop_url","properties_wheelchair_boarding","properties_zone_id","type"
"stops.geometry_fdc011c8dbad2c89412de64d542a040c","Point","","0","","2","","","U6928Z2","Skryje,u mostu","","","0","7","Feature"
"stops.geometry_14565352da148f5410bf92a7e7d9290f","Point","","0","","1","","","U6929Z1","Rakovník,rozc.Lubná","","","0","7","Feature"
"stops.geometry_8f1da2eb9268f1c405e27c1c995b33c1","Point","","0","","2","","","U6929Z2","Rakovník,rozc.Lubná","","","0","7","Feature"
"stops.geometry_a4dbe4bad2fc39a04de381e1990ce74f","Point","","0","","A","","","U692Z1P","Sparta","","","1","P","Feature"
"stops.geometry_5d2e8ad01abad2d38c3547688bc8f28f","Point","","0","","B","","","U692Z2P","Sparta","","","1","P","Feature"
"stops.geometry_262b076ca789b8f3c491a1c00f5fd199","Point","","0","","C","","","U692Z3P","Sparta","","","0","P","Feature"
"stops.geometry_24930488da1141da93041c43b32449af","Point","","0","","D","","","U692Z4P","Sparta","","","0","P","Feature"
"stops.geometry_4b76e949c08b8de77623047c3e434117","Point","","0","","1","","","U6930Z1","Rakovník,Albert HYPERMARKET","","","0","7","Feature"
"stops.geometry_4ece962fba2832f1cd1361dafdb2339a","Point","","0","","1","","","U6931Z1","Rakovník,Průhon","","","0","7","Feature"
"stops.geometry_45114cbcfe012d1803a9e28230069f4d","Point","","0","","2","","","U6931Z2","Rakovník,Průhon","","","0","7","Feature"
"stops.geometry_ec772ce6dfee082eed597c7df1b20a49","Point","","0","","1","","","U6932Z1","Rakovník,garáže ANEXIA","","","0","7","Feature"
"stops.geometry_e590e80fe40b4c3b9e694b1035ae4ec8","Point","","0","","2","","","U6932Z2","Rakovník,garáže ANEXIA","","","0","7","Feature"
"stops.geometry_d5fb5c6cb79c23024d35d6f30535dba9","Point","","0","","1","","","U6933Z1","Rakovník,Malinovského","","","0","7","Feature"
"stops.geometry_90ae16a39c56791d58d34b6e8cf2d100","Point","","0","","2","","","U6933Z2","Rakovník,Malinovského","","","0","7","Feature"
"stops.geometry_7ad43d89e99a88d3356c86117965d838","Point","","0","","1","","","U6934Z1","Rakovník,O.Beníškové","","","0","7","Feature"
"stops.geometry_de72f8a64e9e319eea3108c6e7b61a54","Point","","0","","1","","","U6935Z1","Rakovník,Riegrova","","","0","7","Feature"
"stops.geometry_f884d408678c36069ac0414bdd2ee5f8","Point","","0","","2","","","U6935Z2","Rakovník,Riegrova","","","0","7","Feature"
"stops.geometry_a41988ea9382797abbc6c48d5f8b09c1","Point","","0","","1","","","U6936Z1","Rakovník,S.K.Neumanna","","","0","7","Feature"
"stops.geometry_d9def73e9b70136858fd714049dd908a","Point","","0","","2","","","U6936Z2","Rakovník,S.K.Neumanna","","","0","7","Feature"
"stops.geometry_ec0a2b7c50857d5f9c4038ca0d1faf03","Point","","0","","1","","","U6937Z1","Rakovník,Komenského nám.","","","0","7","Feature"
"stops.geometry_1ac86e9bce41603644712785b684d0a1","Point","","0","","2","","","U6937Z2","Rakovník,Komenského nám.","","","0","7","Feature"
"stops.geometry_e1b0a3116fae90f6dfa652c52785503b","Point","","0","","1","","","U6939Z1","Nezabudice,U Rozvědčíka","","","0","6","Feature"
"stops.geometry_5a79be0ccfa0e7995a4fe62b87ffc418","Point","","0","","2","","","U6939Z2","Nezabudice,U Rozvědčíka","","","0","6","Feature"
"stops.geometry_12b60d3d78e7be387aae9c5059de239f","Point","","0","","A","","","U693Z1P","U Palaty","","","0","P","Feature"
"stops.geometry_286585c56e2800ac4c5ddfd69cc106a6","Point","","0","","B","","","U693Z2P","U Palaty","","","0","P","Feature"
"stops.geometry_54808a0305b2195ac77d2517c71d57a8","Point","","0","","1","","","U6940Z1","Nezabudice,přívoz","","","0","6","Feature"
"stops.geometry_c9700456371619b7b0d759ca400dcb3c","Point","","0","","2","","","U6940Z2","Nezabudice,přívoz","","","0","6","Feature"
"stops.geometry_ab003bf01400b98587b850b78e11a95b","Point","","0","","A","","","U6941Z1","Štětí,záv.","","","0","6","Feature"
"stops.geometry_d3b49306fa326f3d5d64c3f8f2d60f1c","Point","","0","","B","","","U6941Z2","Štětí,záv.","","","0","6","Feature"
"stops.geometry_40f72a40ec762b9d6e99315751b8d8e7","Point","","0","","A","","","U6942Z1","Roztoky,Záv.","","","0","6","Feature"
"stops.geometry_b9545e40ab7159d900c3194e43d37131","Point","","0","","1","","","U6947Z1","Rakovník,Plzeňská","","","0","7","Feature"
"stops.geometry_15a04ed52eef1ba5f6ae93b761947fab","Point","","0","","2","","","U6947Z2","Rakovník,Plzeňská","","","0","7","Feature"
"stops.geometry_415dd977917a3612b405f38c3f9158ad","Point","","0","","A","","","U694Z1P","Spojovací","","","1","P","Feature"
"stops.geometry_4cd2ab7ca282cfffebf14c5a054eea17","Point","","0","","B","","","U694Z2P","Spojovací","","","1","P","Feature"
"stops.geometry_a3395179ad3c5f2e8c2025c6e4550bf5","Point","","0","","C","","","U694Z3P","Spojovací","","","0","P","Feature"
"stops.geometry_1b18290bba7402e47fb99a89facb0728","Point","","0","","D","","","U694Z4P","Spojovací","","","0","P","Feature"
