latitude,longitude,altitude,geometry,coordinates,@id,bus,highway,public_transport,name,ref,ref:PID,network,operator,wheelchair,official_status,railway,source,tram,name:de,shelter,direction,local_ref,tactile_paving,note,name:ru,name:cs,wikidata,wikipedia,colour,network:cs,network:en,network:ru,station,subway,transport,level,name:en,name:it,name:nl,alt_name:de,old_name,name:uk,railway:ref,train,uic_ref,bench,bin,destination,old_name:de,start_date,toilets:wheelchair,wheelchair:description,alt_name,layer,entrance,opening_hours,disused,covered,platforms,internet_access,bicycle,route_ref,name:tr,disused:public_transport,door,type,departures_board,amenity,official_name,description,fee,noexit,int_name,lines,access,public_transport:version,name:he,name:es,name:fi,name:fr,name:ja,name:zh,short_name,elevator,description:cs,description:en,bus_routes,capacity,stroller,website,name:ko,barrier,automatic_door,name:be,network:de,depth,name:1971-1990,alt_name:ru,name:1985-1990,check_date,name:1862-1919,name:1919-1940,name:1940-1945,name:1945-1952,name:1953-1990,name:1990-,name:de:1862-1919,name:de:1919-1940,name:de:1940-1945,ele,fixme
50.0743299,14.4303111,,Point,,node/24569684,,,station,I. P. Pavlova,,,Pražské metro,cz:DPP,yes,,station,,,,,,,,,И. П. Павлова,I. P. Pavlova,Q1880944,cs:I. P. Pavlova (stanice metra),red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1241376,14.4542345,,Point,,node/24569759,,,,Kobylisy,U675N46,,Pražské metro,cz:DPP,yes,,station,,,Kobilis,,,,,,Кобылисы,Kobylisy,,,red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0992485,14.4385541,,Point,,node/24569842,,,,"Vltavská, metro C",,,,,no,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0831594,14.4339891,,Point,,node/24569880,,,,"Hlavní nádraží, metro C",,,,,limited,,subway_entrance,,,"Hauptbahnhof, U-Bahn C",,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0835035,14.4341259,,Point,,node/24569897,,,station,Hlavní nádraží,U142Z101,,Pražské metro,cz:DPP,yes,,station,,,Hauptbahnhof,,,,,,Главни надражи,,,,red,,Prague Metro,Пражский метрополитен,subway,yes,subway,,Main Station,Stazione centrale,Hoofdstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0794169,14.4313393,,Point,,node/24569945,,,,"Muzeum, metro C",,,,cz:DPP,no,,subway_entrance,,,"Museum, U-Bahn C",,,,,,,,Q2655155,cs:Muzeum (stanice metra),,,,,,,,,"Museum, Metro C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0631724,14.4305202,,Point,,node/24569983,,,station,Vyšehrad,,,Pražské metro,cz:DPP,yes,,station,,,Hochburg,,,,,,Вышеград,Vyšehrad,Q2013931,cs:Vyšehrad (stanice metra),red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,Wyschehrad,Gottwaldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0510768,14.4396298,,Point,,node/24570070,,,,Pankrác,,,Pražské metro,cz:DPP,yes,,station,,,Pankratz,,,,,,Панкрац,Pankrác,Q2618245,,red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,,Mládežnická,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0444168,14.4487599,,Point,,node/24570126,,,station,Budějovická,,,Pražské metro,cz:DPP,yes,,station,,,Budweiser Straße,,,,,,Будейовицка,Budějovická,Q2657773,,red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0418449,14.4592925,,Point,,node/24570143,,,,Kačerov,,,Pražské metro,cz:DPP,yes,,station,,,,,,,,,Качеров,Kačerov,Q586457,,red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0375574,14.4770932,,Point,,node/24570180,,,,Roztyly,,,Pražské metro,cz:DPP,yes,,station,,,Rostil,,,,,,Розтылы,Roztyly,Q2552037,,red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,,Primátora Vacka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0317478,14.4908294,,Point,,node/24570253,,,,Chodov,,,Pražské metro,cz:DPP,yes,,station,,,Chodau,,,,,,Ходов,Chodov,Q2038287,,red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,,Budovatelů,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.02789,14.5091753,,Point,,node/24570269,,,station,Opatov,,,Pražské metro,cz:DPP,limited,,station,,,Opatow,,,,,,Опатов,Opatov,Q2446909,,red,Pražské metro,Prague Metro,Пражский метрополитен,subway,yes,subway,,,,,,Družby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.064662,14.4478477,,Point,,node/24578921,,,station,Praha-Vršovice,,,,cz:SŽDC,no,,station,,,,,,,,,Прага-Вршовицкая,,Q1570165,cs:Praha-Vršovice (nádraží),,,,,,,,,,,,,,Прага-Вршовиці,572768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.9705275,14.3996798,,Point,,node/24595483,,,,Praha-Zbraslav,,,,cz:SŽDC,,,station,,,Prag-Königsaal,,,,,,,,,,,,,,,,,,,,,,,,555367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1122895,14.4974889,,Point,,node/24595500,,,,Praha-Vysočany,,,,cz:SŽDC,,,station,,,Prag-Wissotschan,,,,,,,,Q635193,,,,,,,,,,,,,,,,573162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0338963,14.5914024,,Point,,node/24595548,,,,Praha-Uhříněves,,,,cz:SŽDC,,,station,,,Prag-Aurzimowes,,,,,,,,,,,,,,,,,,,,,,,,549568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0613392,14.4092602,,Point,,node/24595601,,,stop_position,Smíchovské nádraží,,U458Z1P,,,,,tram_stop,Bing,yes,Bahnhof Smichow,,,A,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
